commit_or_run_id	stage	model_family	feature_lane	cv_mae	cv_mae_std	validation_mae	runtime_seconds	status	params_summary	description
20260507-211730-smoke-baseline_three_only	smoke	xgboost_v3	baseline_three_only	62517.147955	4529.718976		21.386237	keep	smoke_iter1_baseline_three_only	Smoke iter1: XGBoost on ONLY the Ridge baseline's 3 features (built_area, num_lots, num_commercial). Family premise -- the hypothesis IS the feature set, so a single smoke lane is correct here; multi-lane smoke would defeat the purpose of testing this exact constraint. Compare CV MAE vs xgboost_v2 promoted (49247) and Ridge baseline.
20260507-212215-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62653.733441	4618.923423		25.427597	revert	deepen_iter1_log1p_target	Deepen iter1: wrap target with log1p (expm1 inverse). xgboost_v2 found this tie-positive (-322); test if it ports under feature-starved 3-feature regime.
20260507-212419-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	64766.372747	4383.116797		24.668070	revert	deepen_iter2_monotone_constraints	Deepen iter2: monotone_constraints={built_area:+1, num_lots:+1, num_commercial:+1}. Domain knowledge: more area/lots/commercial units => higher value. Should reduce overfitting noise when the model is feature-starved.
20260507-212614-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62496.041697	4704.809125		30.619019	revert	deepen_iter3_target_clip_99p5	Deepen iter3: clip y_train at 99.5th percentile during fit (cap extreme outliers); MAE eval still uses raw y. Tail outliers may be hurting MAE in feature-starved 3-feature regime.
20260507-212746-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62450.704195	4612.418799		29.457808	keep	deepen_iter4_max_depth_4	Deepen iter4 (capacity-knob): max_depth=4 (vs 6). With 3 features, depth-6 trees may overfit interactions. Less capacity = stronger generalization in feature-starved regime.
20260507-213035-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62479.879281	4381.991505		48.367951	revert	deepen_iter5_lr03_nest1000	Deepen iter5: lr=0.03 + n_est=1000 (capacity-pair, slower learning, more trees). Helps converge to a finer optimum on a feature-starved 3-feature problem.
20260507-213211-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62402.517380	4558.998044		31.532687	keep	deepen_iter6_colsample_full	Deepen iter6: colsample_bytree=1.0 (vs 0.8). With only 3 features, 0.8 samples ~2 cols/tree = throws away info every tree.
20260507-213339-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62515.955190	4474.297276		36.554694	revert	deepen_iter7_subsample_full	Deepen iter7: subsample=1.0 (vs 0.8). Drop row-sampling randomness; with feature-starved 3 cols the variance from sampling may not pay for itself.
20260507-213501-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62365.371484	4525.382420		32.312175	keep	deepen_iter8_max_depth_3	Deepen iter8: max_depth=3 (vs 4). Push Occam direction further -- with 3 features depth 3 may regularize even better.
20260507-213647-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62354.507393	4564.555205		32.453719	keep	deepen_iter9_max_depth_2	Deepen iter9: max_depth=2 (vs 3). Test Occam ceiling -- tiny trees, max info per split with 3 features.
20260507-213821-deepen-baseline_three_only	deepen	xgboost_v3	baseline_three_only	62500.857718	4503.934541		31.305396	revert	deepen_iter10_lr_0p1	Deepen iter10: lr=0.1 (vs 0.05). With shallow depth=2 trees, faster learning may find a better optimum within 500 iters.
20260507-214129-ablate-baseline_three_only	ablate	xgboost_v3	baseline_three_only	62689.656963	4456.985345		34.576040	ablate	ablate_a1_revert_max_depth	Ablate a1: revert max_depth to default 6 (keep colsample=1.0). Test whether max_depth=2 was load-bearing vs W'''.
20260507-214312-ablate-baseline_three_only	ablate	xgboost_v3	baseline_three_only	62626.240945	4390.195212		30.975452	ablate	ablate_a2_revert_colsample	Ablate a2: revert colsample_bytree to default 0.8 (keep max_depth=2). Test whether colsample=1.0 was load-bearing vs W'''.
20260507-214500-confirm-baseline_three_only	confirm	xgboost_v3	baseline_three_only	62674.079203	4330.881819		26.216054	confirm	confirm_seed2026	Stage 4 confirm seed=2026 of W''' (deepen iter9 winner: max_depth=2 + colsample=1.0). Verify seed agreement before promotion.
